@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

opla_dm1_nominal,2,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000246,0.000354,0.224589,0.150482,38.41035,0.042295,38.368055,0.322776,0.000355,0.322421,38.368055,0.322421,99.889886,1,112,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.006,0,0,0,0,155204,153235,18580,100,50,?
opla_dm1_nominal,3,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,119,1,0,99.166667,0.833333,0,0.918699,0.008565,0.091203,7.837671,38.913433,38.495853,10.111569,28.384285,0.320799,0.084263,0.236536,34.254121,0.285451,88.981327,1,113,0.142857,1,0.857143,6,0,0,0.991228,1,0.995595,0.921751,0.992415,0.999068,0.991667,0.134524,0.865476,0.008333,0.99174,0.991667,0.991365,0.921751,0.992415,0.99386,0.959336,0.991667,0.001,0.004,0,0.015625,0,15.625,155087,153094,18721,99.166667,50,?
opla_dm1_nominal,3,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,120,0,0,100,0,0,1,0.000244,0.000341,0.223418,0.145583,38.495853,0.042278,38.453575,0.320799,0.000352,0.320446,38.453575,0.320446,99.890175,1,113,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.004,0,0,0,0,155023,153094,18721,100,50,?
opla_dm1_nominal,3,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1073,120,119,1,0,99.166667,0.833333,0,0.918699,0.008581,0.091203,7.852187,38.913443,38.495853,10.114315,28.381538,0.320799,0.084286,0.236513,34.251375,0.285428,88.974193,1,113,0.142857,1,0.857143,6,0,0,0.991228,1,0.995595,0.921751,0.993679,0.999224,0.991667,0.134524,0.865476,0.008333,0.99174,0.991667,0.991365,0.921751,0.993679,0.994367,0.959336,0.991667,0.001,0.004,0,0,0,0,155087,153094,18721,99.166667,50,?
opla_dm1_nominal,3,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008595,0.091585,8.339524,41.827033,34.401056,10.105748,24.295307,0.289085,0.084922,0.204162,30.186885,0.253671,87.749879,0.99115,112,0,0,1,6,0.00885,1,1,0.99115,0.995556,0.921714,1,1,0.991597,0.000446,0.999554,0.008403,0.992797,0.991597,0.991901,0.921714,1,1,0.959316,0.991597,0,0.007,0,0,0,0,155228,153235,18580,99.159664,50,?
opla_dm1_nominal,3,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008698,0.091586,8.439143,41.827291,34.401056,10.123384,24.277671,0.289085,0.08507,0.204014,30.169249,0.253523,87.698613,0.99115,112,0,0,1,6,0.00885,1,1,0.99115,0.995556,0.921714,1,1,0.991597,0.000446,0.999554,0.008403,0.992797,0.991597,0.991901,0.921714,1,1,0.959316,0.991597,0.001,0.004,0,0.015625,0,15.625,155204,153235,18580,99.159664,50,?
opla_dm1_nominal,3,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.92887,0.00862,0.091585,7.860248,38.923207,38.41035,10.11,28.30035,0.322776,0.084958,0.237818,34.170267,0.287145,88.961093,0.991071,111,0,0,1,7,0.008929,1,1,0.991071,0.995516,0.931229,1,1,0.991597,0.000525,0.999475,0.008403,0.992647,0.991597,0.991858,0.931229,1,1,0.964425,0.991597,0,0.004,0,0,0,0,155236,153235,18580,99.159664,50,?
opla_dm1_nominal,3,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008647,0.091585,7.884905,38.923276,38.41035,10.114645,28.295705,0.322776,0.084997,0.237779,34.165622,0.287106,88.949,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.991071,0.998894,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.991071,0.993357,0.959316,0.991597,0,0.005,0,0,0,0,155236,153235,18580,99.159664,50,?
opla_dm1_nominal,3,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008629,0.091585,7.868212,38.923207,38.41035,10.1115,28.29885,0.322776,0.084971,0.237805,34.168768,0.287133,88.957189,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.994898,0.999368,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.994898,0.994923,0.959316,0.991597,0.001,0.006,0,0,0,0,155196,153235,18580,99.159664,50,?
opla_dm1_nominal,3,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,119,0,0,100,0,0,1,0.000249,0.000337,0.226777,0.143305,38.41035,0.042706,38.367644,0.322776,0.000359,0.322417,38.367644,0.322417,99.888816,1,112,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.004,0,0.015625,0,15.625,155236,153235,18580,100,50,?
opla_dm1_nominal,3,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20210503.043,1074,119,118,1,0,99.159664,0.840336,0,0.91866,0.008691,0.091586,7.924712,38.923387,38.41035,10.122144,28.288206,0.322776,0.08506,0.237716,34.158123,0.287043,88.929477,1,112,0.142857,1,0.857143,6,0,0,0.99115,1,0.995556,0.921714,0.987245,0.99842,0.991597,0.134454,0.865546,0.008403,0.991671,0.991597,0.991292,0.921714,0.987245,0.992288,0.959316,0.991597,0.001,0.003,0,0,0,0,155228,153235,18580,99.159664,50,?
